word, synset, definition
investigation, investigation.n.02, the work of inquiring into something thoroughly and systematically
dec, december.n.01, the last (12th) month of the year
efficacy, efficacy.n.01, capacity or power to produce a desired effect
pulp, pulp.n.02, a soft moist part of a fruit
nationalism, patriotism.n.01, love of country and willingness to sacrifice for it
ci, curie.n.01, a unit of radioactivity equal to the amount of a radioactive isotope that decays at the rate of 37,000,000,000 disintegrations per second
progression, progress.n.02, the act of moving forward (as toward a goal)
accreditation, accreditation.n.01, the act of granting credit or recognition (especially with respect to educational institution that maintains suitable standards)
identifier, identifier.n.01, a symbol that establishes the identity of the one bearing it
disease, disease.n.01, an impairment of health or a condition of abnormal functioning
ussr, soviet_union.n.01, a former communist country in eastern Europe and northern Asia; established in 1922; included Russia and 14 other soviet socialist republics (Ukraine and Byelorussia and others); officially dissolved 31 December 1991
burial, burying.n.01, concealing something under the ground
partnership, partnership.n.01, the members of a business venture created by contract
slave, slave.n.02, someone who works as hard as a slave
stain, mark.n.06, a symbol of disgrace or infamy; --Genesis
bombay, mumbai.n.01, a city in western India just off the coast of the Arabian Sea; India's 2nd largest city (after Calcutta); has the only natural deep-water harbor in western India
aid, aid.n.02, the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
guilt, guilt.n.01, the state of having committed an offense
counselling, guidance.n.01, something that provides direction or advice as to a decision or course of action
tiff, bicker.n.01, a quarrel about petty points
video, television.n.01, broadcasting visual images of stationary or moving objects; ;  - Ernie Kovacs
spectacular, spectacular.n.01, a lavishly produced performance
chancellor, chancellor.n.02, the person who is head of state (in several countries)
sue, sue.n.01, French writer whose novels described the sordid side of city life (1804-1857)
girlfriend, girlfriend.n.02, a girl or young woman with whom a man is romantically involved
allegiance, commitment.n.02, the act of binding yourself (intellectually or emotionally) to a course of action
dea, drug_enforcement_administration.n.01, federal agency responsible for enforcing laws and regulations governing narcotics and controlled substances; goal is to immobilize drug trafficking organizations
ppp, palatopharyngoplasty.n.01, surgical resection of unnecessary palatal and oropharyngeal tissue to open the airway; intended to cure extreme cases of snoring (with or without sleep apnea)
wight, creature.n.02, a human being; `wight' is an archaic term
association, affiliation.n.01, a social or business relationship
limerick, limerick.n.01, port city in southwestern Ireland
diana, diana.n.01, English aristocrat who was the first wife of Prince Charles; her death in an automobile accident in Paris produced intense national mourning (1961-1997)
influence, influence.n.01, a power to affect persons or events especially power based on prestige etc
trouble, trouble.n.01, a source of difficulty
task, job.n.02, a specific piece of work required to be done as a duty or for a specific fee
citizenship, citizenship.n.01, the status of a citizen with rights and duties
error, mistake.n.01, a wrong action attributable to bad judgment or ignorance or inattention
mommy, ma.n.01, informal terms for a mother
withdrawal, withdrawal.n.01, a retraction of a previously held position
sigma, sigma.n.01, the 18th letter of the Greek alphabet
increase, addition.n.03, a quantity that is added
facilitator, facilitator.n.01, someone who makes progress easier
facilitation, facilitation.n.01, the condition of being made easy (or easier)
milton, milton.n.01, English poet; remembered primarily as the author of an epic poem describing humanity's fall from grace (1608-1674)
leverage, leverage.n.01, the mechanical advantage gained by being in a position to use a lever
transition, passage.n.01, the act of passing from one state or place to the next
debtor, debtor.n.01, a person who owes a creditor; someone who has the obligation of paying a debt
vomiting, vomit.n.03, the reflex act of ejecting the contents of the stomach through the mouth
proportion, proportion.n.05, harmonious arrangement or relation of parts or elements within a whole (as in a design); - John Ruskin
triangle, triangle.n.01, a three-sided polygon
erin, erin.n.01, an early name of Ireland that is now used in poetry
noise, noise.n.03, electrical or acoustic activity that can disturb communication
creativity, creativity.n.01, the ability to create
ros, ro.n.01, an artificial language for international use that rejects all existing words and is based instead on an abstract analysis of ideas
euro, euro.n.01, the basic monetary unit of most members of the European Union (introduced in 1999); in 2002 twelve European nations (Germany, France, Belgium, Luxembourg, the Netherlands, Italy, Spain, Portugal, Ireland, Greece, Austria, Finland) adopted the euro as their basic unit of money and abandoned their traditional currencies
boast, boast.n.01, speaking of yourself in superlatives
target, target.n.01, a reference point to shoot at
solitaire, solitaire.n.04, a card game played by one person
barrie, barrie.n.01, Scottish dramatist and novelist; created Peter Pan (1860-1937)
glimpse, glance.n.01, a quick look
ida, international_development_association.n.01, an agency of the United Nations affiliated with the World Bank
naomi, naomi.n.01, the mother-in-law of Ruth whose story is told in the Book of Ruth in the Old Testament
sequence, sequence.n.03, film consisting of a succession of related shots that develop a given subject in a movie
bottom, buttocks.n.01, the fleshy part of the human body that you sit on
fcc, federal_communications_commission.n.01, an independent government agency that regulates interstate and international communications by radio and television and wire and cable and satellite
dad, dad.n.01, an informal term for a father; probably derived from baby talk
satisfaction, gratification.n.01, state of being gratified or satisfied
brunswick, braunschweig.n.01, a city in central Germany
spill, spill.n.04, a sudden drop from an upright position
contingency, eventuality.n.01, a possible event or occurrence or result
shadow, darkness.n.02, an unilluminated area
glossy, slick.n.02, a magazine printed on good quality paper
exec, white_house.n.01, the chief executive department of the United States government
pepsi, pepsi.n.01, Pepsi Cola is a trademarked cola
augmentation, augmentation.n.01, the amount by which something increases
mumbai, mumbai.n.01, a city in western India just off the coast of the Arabian Sea; India's 2nd largest city (after Calcutta); has the only natural deep-water harbor in western India
cohort, cohort.n.01, a company of companions or supporters
talbot, talbot.n.01, English inventor and pioneer in photography who published the first book illustrated with photographs (1800-1877)
revival, revival.n.01, bringing again into activity and prominence
verse, poetry.n.01, literature in metrical form
discussion, discussion.n.02, an exchange of views on some topic
ed, erectile_dysfunction.n.01, impotence resulting from a man's inability to have or maintain an erection of his penis
zaire, congo.n.01, a republic in central Africa; achieved independence from Belgium in 1960
loan, loanword.n.01, a word borrowed from another language; e.g. `blitz' is a German word borrowed into modern English
kind, kind.n.01, a category of things distinguished by some common characteristic or quality
donation, contribution.n.02, a voluntary gift (as of money or service or ideas) made to some worthwhile cause
valuation, evaluation.n.02, an appraisal of the value of something
amino, amino.n.01, the radical -NH2
karate, karate.n.01, a traditional Japanese system of unarmed combat; sharp blows and kicks are given to pressure-sensitive points on the body of the opponent
impotence, powerlessness.n.01, the quality of lacking strength or power; being weak and feeble
baldwin, baldwin.n.01, United States author who was an outspoken critic of racism (1924-1987)
venture, speculation.n.03, an investment that is very risky but could yield great profits
pagan, heathen.n.01, a person who does not acknowledge your god
citation, citation.n.03, a short note recognizing a source of information or of a quoted passage
cert, cert.n.01, an absolute certainty
swell, dandy.n.01, a man who is much concerned with his dress and appearance
dry, dry.n.01, a reformer who opposes the use of intoxicating beverages
unity, one.n.01, the smallest whole number or a numeral representing this number
rub, hang-up.n.02, an unforeseen obstacle
critique, review.n.02, an essay or article that gives a critical evaluation (as of a book or play)
omaha, omaha.n.01, a member of the Siouan people formerly living in the Missouri river valley in northeastern Nebraska
thumbnail, thumbnail.n.01, the nail of the thumb
guidance, guidance.n.01, something that provides direction or advice as to a decision or course of action
pledge, pledge.n.03, a drink in honor of or to the health of a person or event
tactic, tactic.n.01, a plan for attaining a particular goal
corporation, pot.n.07, slang for a paunch
welfare, wellbeing.n.01, a contented state of being happy and healthy and prosperous
sen, sen.n.01, a fractional monetary unit of Japan and Indonesia and Cambodia; equal to one hundredth of a yen or rupiah or riel
bidding, command.n.01, an authoritative direction or instruction to do something
profit, net_income.n.01, the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)
freak, freak.n.01, a person or animal that is markedly unusual or deformed
expat, exile.n.01, a person who is voluntarily absent from home or country
termination, result.n.03, something that results
thief, thief.n.01, a criminal who takes property belonging to someone else with the intention of keeping it or selling it
dimension, property.n.04, a construct whereby objects or individuals can be distinguished
goldman, goldman.n.01, United States anarchist (born in Russia) who opposed conscription; was deported to the Soviet Union in 1919 (1869-1940)
rash, rash.n.02, a series of unexpected and unpleasant occurrences
patience, solitaire.n.04, a card game played by one person
david, david.n.01, patron saint of Wales (circa 520-600)
revise, revision.n.02, the act of rewriting something
whisper, rustle.n.01, a light noise, like the noise of silk clothing or leaves blowing in the wind
boston, boston.n.01, state capital and largest city of Massachusetts; a major center for banking and financial services
aggression, aggression.n.03, violent action that is hostile and usually unprovoked
mortgage, mortgage.n.01, a conditional conveyance of property as security for the repayment of a loan
victim, victim.n.02, a person who is tricked or swindled
people, multitude.n.03, the common people generally
execution, performance.n.03, the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it
face, expression.n.01, the feelings expressed on a person's face
disclosure, disclosure.n.01, the speech act of making something evident
movement, campaign.n.02, a series of actions advancing a principle or tending toward a particular end
pub, public_house.n.01, tavern consisting of a building with a bar and public rooms; often provides light meals
apocalypse, revelation.n.04, the last book of the New Testament; contains visionary descriptions of heaven and of conflicts between good and evil and of the end of the world; attributed to Saint John the Apostle
anna, anna.n.01, a former copper coin of Pakistan and India
exclusion, exception.n.01, a deliberate act of omission
streaming, cyclosis.n.01, the circulation of cytoplasm within a cell
neutron, neutron.n.01, an elementary particle with 0 charge and mass about equal to a proton; enters into the structure of the atomic nucleus
nominee, campaigner.n.01, a politician who is running for public office
rs, r.n.03, the 18th letter of the Roman alphabet
international, international.n.01, any of several international socialist organizations
zoom, soar.n.01, the act of rising upward into the air
moody, moody.n.01, United States tennis player who dominated women's tennis in the 1920s and 1930s (1905-1998)
redistribution, redistribution.n.01, distributing again
decree, decree.n.01, a legally binding command or decision entered on the court record (as if issued by a court or judge)
snippet, snip.n.01, a small piece of anything (especially a piece that has been snipped off)
welsh, welshman.n.01, a native or resident of Wales
advantage, advantage.n.03, benefit resulting from some event or action
dynasty, dynasty.n.01, a sequence of powerful leaders in the same family
syndrome, syndrome.n.01, a complex of concurrent things
integer, integer.n.01, any of the natural numbers (positive or negative) or zero
silica, silica.n.01, a white or colorless vitreous insoluble solid (SiO2); various forms occur widely in the earth's crust as quartz or cristobalite or tridymite or lechatelierite
destruction, end.n.06, a final state
comedy, drollery.n.01, a comic incident or series of incidents
yesterday, yesterday.n.01, the day immediately before today
ghost, touch.n.03, a suggestion of some quality
modal, modal_auxiliary_verb.n.01, an auxiliary verb (such as `can' or `will') that is used to express modality
saturation, saturation.n.04, chromatic purity: freedom from dilution with white and hence vivid in hue
mime, mime.n.02, a performance using gestures and body movements without words
frustration, frustration.n.01, the feeling that accompanies an experience of being thwarted in attaining your goals
phi, phi.n.01, the 21st letter of the Greek alphabet
love, beloved.n.01, a beloved person; used as terms of endearment
boom, boom.n.01, a deep prolonged loud noise
fir, fir.n.01, nonresinous wood of a fir tree
diagram, diagram.n.01, a drawing intended to explain how something works; a drawing showing the relation between the parts
mum, ma.n.01, informal terms for a mother
bloomfield, bloomfield.n.01, United States linguist who adopted a behavioristic approach to linguistics (1887-1949)
enhancement, enhancement.n.01, an improvement that makes something more agreeable
equity, fairness.n.01, conformity with rules or standards
graphite, graphite.n.01, used as a lubricant and as a moderator in nuclear reactors
alignment, alliance.n.03, an organization of people (or countries) involved in a pact or treaty
rap, rap.n.02, a gentle blow
deed, act.n.02, something that people do or cause to happen
ordinance, regulation.n.01, an authoritative rule
prostitution, prostitution.n.01, offering sexual intercourse for pay
anniversary, anniversary.n.01, the date on which an event occurred in some previous year (or the celebration of it)
help, avail.n.01, a means of serving
slack, slump.n.01, a noticeable deterioration in performance or quality
dong, dong.n.01, the basic unit of money in Vietnam
shine, radiance.n.02, the quality of being bright and sending out rays of light
mediation, mediation.n.02, the act of intervening for the purpose of bringing about a settlement
supervision, supervision.n.01, management by overseeing the performance or operation of a person or group
ds, d.n.03, the 4th letter of the Roman alphabet
horde, horde.n.01, a vast multitude
moonlight, moonlight.n.01, the light of the Moon
warp, warp.n.02, a shape distorted by twisting or folding
monroe, monroe.n.01, United States film actress noted for sex appeal (1926-1962)
patty, patty.n.01, small flat mass of chopped food
september, september.n.01, the month following August and preceding October
nederland, netherlands.n.01, a constitutional monarchy in western Europe on the North Sea; half the country lies below sea level
cypres, spanish_elm.n.02, large tropical American tree of the genus Cordia grown for its abundant creamy white flowers and valuable wood
cash, cash.n.01, money in the form of bills or coins
std, venereal_disease.n.01, a communicable infection transmitted by sexual intercourse or genital contact
equation, equality.n.02, a state of being essentially equal or equivalent; equally balanced
dean, dean.n.03, a man who is the senior member of a group
vaughan, vaughan.n.01, United States jazz singer noted for her complex bebop phrasing and scat singing (1924-1990)
mil, mile.n.07, a Swedish unit of length equivalent to 10 km
theresa, teresa.n.01, Indian nun and missionary in the Roman Catholic Church (born of Albanian parents in what is now Macedonia); dedicated to helping the poor in India (1910-1997)
dissertation, dissertation.n.01, a treatise advancing a new point of view resulting from research; usually a requirement for an advanced academic degree
herpes, herpes.n.01, viral diseases causing eruptions of the skin or mucous membrane
campbell, campbell.n.01, United States mythologist (1904-1987)
deletion, deletion.n.03, the omission that is made when an editorial change shortens a written passage
ken, sight.n.05, the range of vision
result, consequence.n.01, a phenomenon that follows and is caused by some previous phenomenon
notice, poster.n.01, a sign posted in a public place as an advertisement
lemma, lemma.n.01, a subsidiary proposition that is assumed to be true in order to prove another proposition
wto, world_trade_organization.n.01, an international organization based in Geneva that monitors and enforces rules governing global trade
sacramento, sacramento.n.01, a city in north central California 75 miles to the northeast of San Francisco on the Sacramento River; capital of California
reign, reign.n.03, royal authority; the dominion of a monarch
princeton, princeton.n.01, a university town in central New Jersey
creed, religious_doctrine.n.01, the written body of teachings of a religious group that are generally accepted by that group
tonight, tonight.n.01, the present or immediately coming night
daylight, day.n.04, the time after sunrise and before sunset while it is light outside
creator, godhead.n.01, terms referring to the Judeo-Christian God
benton, benton.n.01, United States artist whose paintings portrayed life in the Midwest and South (1889-1975)
miami, miami.n.01, a member of the extinct Algonquian people formerly living in northern Indiana and southern Michigan
indie, indie.n.01, a pop group not affiliated with a major record company
ko, knockout.n.02, a blow that renders the opponent unconscious
cum, semen.n.01, the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
news, news.n.01, information about recent and important events
croatian, croatian.n.01, a member of the Slavic people living in Croatia
senate, senate.n.01, assembly possessing high legislative powers
spirit, spirit.n.02, the general atmosphere of a place or situation and the effect that it has on people
tracy, tracy.n.01, United States film actor who appeared in many films with Katharine Hepburn (1900-1967)
noel, christmas.n.01, period extending from Dec. 24 to Jan. 6
revision, revision.n.02, the act of rewriting something
caucasian, white.n.01, a member of the Caucasoid race
angle, slant.n.01, a biased way of looking at or presenting something
resolve, resolution.n.01, a formal expression by a meeting; agreed to by a vote
bisexual, bisexual.n.01, a person who is sexually attracted to both sexes
parser, parser.n.01, a computer program that divides code up into functional components
amnesty, amnesty.n.03, the formal act of liberating someone
banquet, banquet.n.02, a meal that is well prepared and greatly enjoyed
ne, northeast.n.01, the compass point midway between north and east; at 45 degrees
effort, campaign.n.02, a series of actions advancing a principle or tending toward a particular end
immigrant, immigrant.n.01, a person who comes to a country where they were not born in order to settle there
guarantee, guarantee.n.01, a written assurance that some product or service will be provided or will meet certain specifications
jargon, slang.n.02, a characteristic language of a particular group (as among thieves)
sun, sun.n.01, the star that is the source of light and heat for the planets in the solar system
breakdown, breakdown.n.02, a mental or physical breakdown
hitler, hitler.n.01, German Nazi dictator during World War II (1889-1945)
virgin, virgo.n.01, (astrology) a person who is born while the sun is in Virgo
toon, cartoon.n.02, a film made by photographing a series of cartoon drawings to give the illusion of movement when projected in rapid sequence
cam, cam.n.01, a river in east central England that flows past Cambridge to join the Ouse River
clarion, clarion.n.01, a medieval brass instrument with a clear shrill tone
goo, sludge.n.02, any thick, viscous matter
scientology, scientology.n.01, a new religion founded by L. Ron Hubbard in 1955 and characterized by a belief in the power of a person's spirit to clear itself of past painful experiences through self-knowledge and spiritual fulfillment
pakistan, pakistan.n.01, a Muslim republic that occupies the heartland of ancient south Asian civilization in the Indus River valley; formerly part of India; achieved independence from the United Kingdom in 1947
li, lithium.n.01, a soft silver-white univalent element of the alkali metal group; the lightest metal known; occurs in several minerals
privilege, prerogative.n.01, a right reserved exclusively by a particular person or group (especially a hereditary or official right)
crack, crack.n.09, a usually brief attempt
darling, darling.n.01, a special loved one
poverty, poverty.n.01, the state of having little or no money and few or no material possessions
vip, very_important_person.n.01, an important or influential (and often overbearing) person
etiquette, etiquette.n.01, rules governing socially acceptable behavior
base, base.n.14, the place where you are stationed and from which missions start and end
regulation, rule.n.01, a principle or condition that customarily governs behavior
bot, bot.n.01, botfly larva; typically develops inside the body of a horse or sheep or human
reference, citation.n.03, a short note recognizing a source of information or of a quoted passage
bod, human_body.n.01, alternative names for the body of a human being
fantasy, illusion.n.02, something many people believe that is false
youth, young.n.09, young people collectively
sharing, sharing.n.04, a distribution in shares
longevity, longevity.n.02, the property of being long-lived
stranger, stranger.n.01, anyone who does not belong in the environment in which they are found
porn, pornography.n.01, creative activity (writing or pictures or films etc.) of no literary or artistic value other than to stimulate sexual desire
coup, coup_d'etat.n.01, a sudden and decisive change of government illegally or by force
revolt, rebellion.n.02, organized opposition to authority; a conflict in which one faction tries to wrest control from another
optimisation, optimization.n.01, the act of rendering optimal
incidence, incidence.n.01, the relative frequency of occurrence of something
madonna, mary.n.01, the mother of Jesus; Christians refer to her as the Virgin Mary; she is especially honored by Roman Catholics
madam, dame.n.02, a woman of refinement
financing, financing.n.01, the act of financing
fraud, fraud.n.03, something intended to deceive; deliberate trickery intended to gain an advantage
person, person.n.01, a human being
orgasm, orgasm.n.01, the moment of most intense pleasure in sexual intercourse
legislator, legislator.n.01, someone who makes or enacts laws
feasibility, feasibility.n.01, the quality of being doable
complexity, complexity.n.01, the quality of being intricate and compounded
bryan, bryan.n.01, United States lawyer and politician who advocated free silver and prosecuted John Scopes (1925) for teaching evolution in a Tennessee high school (1860-1925)
homosexuality, homosexuality.n.01, a sexual attraction to (or sexual relations with) persons of the same sex
ph, ph.n.01, (from potential of Hydrogen) the logarithm of the reciprocal of hydrogen-ion concentration in gram atoms per liter; provides a measure on a scale from 0 to 14 of the acidity or alkalinity of a solution (where 7 is neutral and greater than 7 is more basic and less than 7 is more acidic)
recession, recess.n.02, a small concavity
blur, blur.n.01, a hazy or indistinct representation
downtime, downtime.n.01, a period of time when something (as a machine or factory) is not operating (especially as a result of malfunctions)
respondent, respondent.n.02, someone who responds
reeve, reeve.n.01, female ruff
gum, glue.n.01, cement consisting of a sticky substance that is used as an adhesive
continuity, continuity.n.03, the property of a continuous and connected period of time
jupiter, jupiter.n.02, (Roman mythology) supreme god of Romans; counterpart of Greek Zeus
menopause, menopause.n.01, the time in a woman's life in which the menstrual cycle ends
john, toilet.n.01, a room or building equipped with one or more toilets
issuance, issue.n.04, the act of providing an item for general use or for official purposes (usually in quantity)
recreation, diversion.n.01, an activity that diverts or amuses or stimulates
coherence, coherence.n.01, the state of cohering or sticking together
budget, budget.n.01, a sum of money allocated for a particular purpose
sect, faction.n.02, a dissenting clique
epidemic, epidemic.n.01, a widespread outbreak of an infectious disease; many people are infected at the same time
company, party.n.03, a band of people associated temporarily in some activity
acknowledgment, citation.n.03, a short note recognizing a source of information or of a quoted passage
balm, ointment.n.01, semisolid preparation (usually containing a medicine) applied externally as a remedy or for soothing an irritation
corpse, cadaver.n.01, the dead body of a human being
elli, elli.n.01, (Norse mythology) goddess of old age who defeated Thor in a wrestling match
success, achiever.n.01, a person with a record of successes
nicotine, nicotine.n.01, an alkaloid poison that occurs in tobacco; used in medicine and as an insecticide
discard, discard.n.01, anything that is cast aside or discarded
classification, classification.n.03, the basic cognitive process of arranging into classes or categories
manhattan, manhattan.n.01, one of the five boroughs of New York City
accomplishment, skill.n.01, an ability that has been acquired by training
provider, supplier.n.01, someone whose business is to supply a particular service or commodity
character, character.n.04, an actor's portrayal of someone in a play
irony, sarcasm.n.01, witty language used to convey insults or scorn; ; ; --Jonathan Swift
latency, latency.n.03, the state of being not yet evident or active
seth, set.n.10, evil Egyptian god with the head of a beast that has high square ears and a long snout; brother and murderer of Osiris
arsenic, arsenic.n.02, a very poisonous metallic element that has three allotropic forms; arsenic and arsenic compounds are used as herbicides and insecticides and various alloys; found in arsenopyrite and orpiment and realgar
havana, havana.n.01, the capital and largest city of Cuba; located in western Cuba; one of the oldest cities in the Americas
diaz, dias.n.01, Portuguese explorer who in 1488 was the first European to get round the Cape of Good Hope (thus establishing a sea route from the Atlantic to Asia) (1450-1500)
cymru, wales.n.01, one of the four countries that make up the United Kingdom of Great Britain and Northern Ireland; during Roman times the region was known as Cambria
memory, memory.n.04, an electronic memory device
mind, mind.n.01, that which is responsible for one's thoughts and feelings; the seat of the faculty of reason
denver, denver.n.01, the state capital and largest city of Colorado; located in central Colorado on the South Platte river
horoscope, horoscope.n.01, a prediction of someone's future based on the relative positions of the planets
crash, crash.n.03, a sudden large decline of business or the prices of stocks (especially one that causes additional failures)
dub, dub.n.01, the new sounds added by dubbing
hussein, hussein.n.01, Iraqi leader who waged war against Iran; his invasion of Kuwait led to the Gulf War (born in 1937)
dignity, dignity.n.01, the quality of being worthy of esteem or respect
politician, politician.n.02, a person active in party politics
elimination, elimination.n.02, the bodily process of discharging waste matter
plato, plato.n.01, ancient Athenian philosopher; pupil of Socrates; teacher of Aristotle (428-347 BC)
capitalist, capitalist.n.01, a conservative advocate of capitalism
meade, meade.n.01, English economist noted for his studies of international trade and finance (1907-1995)
dyer, dyer.n.01, someone whose job is to dye cloth
burke, burk.n.01, United States frontierswoman and legendary figure of the Wild West noted for her marksmanship (1852-1903)
grandmother, grandma.n.01, the mother of your father or mother
torture, distortion.n.05, the act of distorting something so it seems to mean something it was not intended to mean
feminist, feminist.n.01, a supporter of feminism
lithium, lithium.n.01, a soft silver-white univalent element of the alkali metal group; the lightest metal known; occurs in several minerals
outlaw, criminal.n.01, someone who has committed a crime or has been legally convicted of a crime
tyler, tyler.n.01, elected vice president and became the 10th President of the United States when Harrison died (1790-1862)
fusion, coalition.n.02, the state of being combined into one body
blast, fire.n.09, intense adverse criticism
economist, economist.n.01, an expert in the science of economics
ascension, rise.n.04, a movement upward
taxpayer, taxpayer.n.01, someone who pays taxes
grandfather, grandfather.n.01, the father of your father or mother
abuse, maltreatment.n.01, cruel or inhumane treatment
exchange, central.n.01, a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication
way, means.n.01, how a result is obtained or an end is achieved
fulton, fulton.n.01, American inventor who designed the first commercially successful steamboat and the first steam warship (1765-1815)
scrutiny, examination.n.01, the act of examining something closely (as for mistakes)
count, count.n.02, the act of counting; reciting numbers in ascending order
slavery, bondage.n.02, the state of being under the control of another person
adhd, attention_deficit_disorder.n.01, a condition (mostly in boys) characterized by behavioral and learning disorders
boyfriend, boyfriend.n.01, a man who is the lover of a girl or young woman
certainty, certainty.n.01, the state of being certain
shin, tibia.n.01, the inner and thicker of the two bones of the human leg between the knee and ankle
clark, clark.n.01, United States explorer who (with Meriwether Lewis) led an expedition from St. Louis to the mouth of the Columbia River; Clark was responsible for making maps of the area (1770-1838)
grey, gray.n.01, a neutral achromatic color midway between white and black
speculation, guess.n.01, a message expressing an opinion based on incomplete evidence
watercolor, watercolor.n.01, a painting produced with watercolors
cm, centimeter.n.01, a metric unit of length equal to one hundredth of a meter
minority, minority.n.01, a group of people who differ racially or politically from a larger group of which it is a part
masturbation, masturbation.n.01, manual stimulation of the genital organs (of yourself or another) for sexual pleasure
preference, preference.n.01, a strong liking
hail, hail.n.01, precipitation of ice pellets when there are strong rising air currents
sol, sol.n.03, the syllable naming the fifth (dominant) note of any musical scale in solmization
conversation, conversation.n.01, the use of speech for informal exchange of views or ideas or information etc.
value, value.n.01, a numerical quantity measured or assigned or computed
pix, pyx.n.01, a chest in which coins from the mint are held to await assay
level, degree.n.02, a specific identifiable position in a continuum or series or especially in a process
acute, acute_accent.n.01, a mark (') placed above a vowel to indicate pronunciation
philanthropy, philanthropy.n.01, voluntary promotion of human welfare
laurel, laurel.n.01, any of various aromatic trees of the laurel family
optimization, optimization.n.01, the act of rendering optimal
plot, plot.n.01, a secret scheme to do something (especially something underhand or illegal)
ejaculation, ejaculation.n.01, an abrupt emphatic exclamation expressing emotion
fortune, fortune.n.04, your overall circumstances or condition in life (including everything that happens to you)
math, mathematics.n.01, a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
muse, muse.n.01, in ancient Greek mythology any of 9 daughters of Zeus and Mnemosyne; protector of an art or science
riot, belly_laugh.n.02, a joke that seems extremely funny
locator, locator.n.01, a person who fixes the boundaries of land claims
flasher, exhibitionist.n.01, someone with a compulsive desire to expose the genitals
tau, tau.n.01, the 19th letter of the Greek alphabet
stability, constancy.n.01, the quality of being enduring and free from change or variation
moscow, moscow.n.01, a city of central European Russia; formerly capital of both the Soviet Union and Soviet Russia; since 1991 the capital of the Russian Federation
helena, helena.n.01, capital of the state of Montana; located in western Montana
pass, crack.n.09, a usually brief attempt
afl, american_federation_of_labor.n.01, a federation of North American labor unions that merged with the Congress of Industrial Organizations in 1955
competency, competence.n.01, the quality of being adequately or well qualified physically and intellectually
palmer, palmer.n.01, United States golfer (born in 1929)
equivalence, comparison.n.03, qualities that are comparable
gazette, gazette.n.01, a newspaper or official journal
father, father.n.06, God when considered as the first person in the Trinity
hint, tip.n.03, an indication of potential opportunity
assassination, assassination.n.02, murder of a public figure by surprise attack
conformity, accord.n.02, concurrence of opinion
burden, effect.n.04, the central meaning or theme of a speech or literary work
audit, audit.n.02, a methodical examination or review of a condition or situation
hardship, asperity.n.01, something hard to endure
scandal, scandal.n.01, disgraceful gossip about the private lives of other people
trophy, trophy.n.02, something given as a token of victory
artwork, artwork.n.01, photographs or other visual representations in a printed publication
comprehension, inclusion.n.02, the relation of comprising something
loren, loren.n.01, Italian film actress (born in 1934)
idea, idea.n.01, the content of cognition; the main thing you are thinking about
infinite, space.n.01, the unlimited expanse in which everything is located
surrey, surrey.n.01, a county in southeastern England on the Thames
backbone, spinal_column.n.01, the series of vertebrae forming the axis of the skeleton and protecting the spinal cord
burnett, burnett.n.01, United States writer (born in England) remembered for her novels for children (1849-1924)
spammer, spammer.n.01, someone who sends unwanted email (often in bulk)
expense, expense.n.01, amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures)
tonne, metric_ton.n.01, a unit of weight equivalent to 1000 kilograms
accountability, accountability.n.01, responsibility to someone or for some activity
spur, spur.n.02, any sharply pointed projection
tad, tad.n.01, a slight amount or degree of difference
husband, husband.n.01, a married man; a woman's partner in marriage
bitmap, bitmap.n.01, an image represented as a two dimensional array of brightness values for pixels
slap, smack.n.06, the act of smacking something; a blow delivered with an open hand
punishment, punishment.n.01, the act of punishing
sinclair, sinclair.n.01, United States writer whose novels argued for social reform (1878-1968)
protester, dissenter.n.01, a person who dissents from some established policy
mercy, clemency.n.02, leniency and compassion shown toward offenders by a person or agency charged with administering justice
deprivation, privation.n.01, a state of extreme poverty
allocation, allotment.n.02, the act of distributing by allotting or apportioning; distribution according to a plan
scott, scott.n.01, award-winning United States film actor (1928-1999)
rage, rage.n.03, something that is desired intensely
teen, adolescent.n.01, a juvenile between the onset of puberty and maturity
monopoly, monopoly.n.01, (economics) a market in which there are many buyers but only one seller
violation, rape.n.03, the crime of forcing a woman to submit to sexual intercourse against her will
mambo, mambo.n.01, a Latin American dance similar in rhythm to the rumba
visa, visa.n.01, an endorsement made in a passport that allows the bearer to enter the country issuing it
primer, flat_coat.n.01, the first or preliminary coat of paint or size applied to a surface
quest, quest.n.02, the act of searching for something
impact, shock.n.02, the violent interaction of individuals or groups entering into combat
parkinson, parkinson.n.01, English surgeon (1755-1824)
hansard, hansard.n.01, the official published verbatim report of the proceedings of a parliamentary body; originally of the British Parliament
refinement, polish.n.02, a highly developed state of perfection; having a flawless or impeccable quality; ; ; --Joseph Conrad
jason, jason.n.01, (Greek mythology) the husband of Medea and leader of the Argonauts who sailed in quest of the Golden Fleece
nobel, nobel.n.01, Swedish chemist remembered for his invention of dynamite and for the bequest that created the Nobel prizes (1833-1896)
source, beginning.n.04, the place where something begins, where it springs into being
mohammed, mohammed.n.01, the Arab prophet who, according to Islam, was the last messenger of Allah (570-632)
